Site;Culture;Region;name_macroreg;Chronology;Type;Geo;weight;From Century;To Century;Common Wheat;Emmer;Einkorn;Oats;Barley;Rye;Proso millet;Foxtail millet;Sorghum;Unsp. cereals;Lentil;Pea;Faba bean;Vetch;Unsp. Vicia;Blue/Red Pea;Chickpea;Unsp. Pulses;Walnut;Hazelnut;Chestnut;Apple;Fig;Grape;Melon;Peach;Pear;Plum;Olive;Flax;Sour Cherry;Corn. Cherry;Sorbus sp.;Wild Cherry;Unsp. Prunus;Elderberry;Blackthorn;Blackberry;Strawberry;Date
Loppio, Isola S. Andrea;Lombard;Trentino-Alto Adige/Südtirol;Northern Italy;EMA;Castrum;Mountain;0.5000;5;6;1;;2;3;25;5;136;98;1;103;16;4;2;9;1;14;;3;3;;;;;1;;;;;;;;;;;;;;;;
Lomello, villa Maria;Early Medieval;Lombardia;Northern Italy;EMA;Rural;Plain;0.5000;5;6;9;;1;1;18;64;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Domagnano;Goth;San Marino;Northern Italy;EMA;Rural;Mountain;0.5000;5;6;1;;;;3;;;;;2;;;;;;;;;2;;;2;206;1595;;;1;1;250;;;;;;;;;;3;
Parma, Piazza Garibaldi/via Cavestro;Medieval;Emilia-Romagna;Northern Italy;EMA;Urban;Plain;0.5000;10;11;218;40;115;;39;54;37;;;9;;3;20;;;;;;13;5;;236;8978;26495;87;136;12;210;;;114;9;338;1107;;4;201;724;519;
Ventimiglia, battistero della Cattedrale;Early Medieval;Liguria;Northern Italy;EMA;Urban;Coast;0.5000;6;7;879;102;3;;30;;1;103;;242;15;;;11;3;5;;;;;;;;9;;;;;;;;;;;;;;;;
S. Antonino di Perti;Byzantine;Liguria;Northern Italy;EMA;Castrum;Mountain;0.5000;6;7;;;;;2;;1;;;;;;;;;;;;;1;;;;2;;2;;1;;;;3;;;;;;;;
Luni, 8th c.;Early Medieval;Liguria;Northern Italy;EMA;Urban;Coast;1.0000;8;8;66;;1;;1;;1;;;;;;2;;1;;;;1;;;;;7;;;;;1;;;;;;1;;;;;
Classe, 8th c.;Early Medieval;Emilia-Romagna;Northern Italy;EMA;Rural;Coast;1.0000;8;8;15;13;;1;932;;;;;11;500;;1;;3;14;80;;;;;;1;1;;;;;;;;;;;;;;;;
Classe, 8th-10th c.;Early Medieval;Emilia-Romagna;Northern Italy;EMA;Rural;Coast;0.3333;8;10;39;6;;;91;;104;;;9;43;;3;;1;3;3;;;;;;;;;;;;;;;;;;;;;;;
Nogara, Mulino di Sotto;Medieval;Veneto;Northern Italy;EMA;Rural;Plain;0.3333;9;11;69;8;28;;12;34;21;7;24;107;9;1;9;9;;4;;;21;11;1;7;;1453;;16;;6;;;;1;1;;17;3;11;19;;
Finalborgo;Medieval;Liguria;Northern Italy;EMA;Urban;Coast;0.5000;10;11;1;;;1;;;;;;;;;;;;;;;1;1;;;170;19;;;;2;;;;;;;;23;;1;;
Teglio, via Roma;Early Medieval;Lombardia;Northern Italy;EMA;Urban;Mountain;0.5000;5;6;;22;;;3;;;6;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aquileia, insule quartieri nord;Early Medieval;Friuli-Venezia Giulia;Northern Italy;EMA;Urban;Coast;0.5000;5;6;1;;;;;;;1;;5;;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campi di Riva del Garda, Monte S. Martino;Early Medieval;Trentino-Alto Adige/Südtirol;Northern Italy;EMA;Urban;Mountain;0.3333;4;6;2;3;;1;3;;;;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sirmione, via Antiche Mura;Early Medieval;Lombardia;Northern Italy;EMA;Rural site, villa;Plain;0.5000;5;6;13;;;;;;90000;255600;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Modena, via Nonantolana;Early Medieval;Emilia-Romagna;Northern Italy;EMA;Rural;Plain;0.5000;5;6;8;;;82;;;50;;;18;;;;3;;13;;;;;;;;;;;;;;;;;;;;;;;;
Anguillara Sabazia, Mura di Santo Stefano, Phase 4;Medieval;Lazio;Central Italy;EMA;Urban;Hill;0.3333;9;11;56.39;6.4;0.15;0.09;16.02;1.81;1.09;;;;0.04;;7.03;;1.43;1.3;0.84;2.38;;;;;;;;;;;;;;;;;;;;;;
S. Maria in Cività, D85;Early Medieval;Molise;Southern Italy;EMA;Urban;Hilltop;0.2500;6;9;2345;3;;90;1193;;336;;;4067;;;10;;;37;;126;;;;;307;14;;;;;;215;;;;;;3;;;;
S. Giovanni di Ruoti, Phase 3A;Late Roman;Basilicata;Southern Italy;EMA;Rural site, villa;Mountain;1.0000;5;5;4;;;;;;1;;;8;1;1;;;;;;;;;;;2;10;;;;;28;;;;;;;;;3;;
S. Giovanni di Ruoti, Phase 3B;Late Roman;Basilicata;Southern Italy;EMA;Rural site, villa;Mountain;0.5000;5;6;2;;;;13;;;;;4;;1;;;;;;;;;;1;1;;;;;;;;;;;6;;1;;;;
Brescia, Capitolium, deterioration phase;Lombard;Lombardia;Northern Italy;EMA;Urban;Plain;1.0000;7;7;146;;;;8;4;;15;;218;2;;;;;;;8;10;;;;;1;;;;;;;;;;;;;;;;
Brescia, via Alberto Mario;Goth;Lombardia;Northern Italy;EMA;Urban;Plain;0.5000;5;6;3;2;750;7;;62;21000;3;;;9;;16;;;;;;;;5;;;1;;;;;;;;;;;;;;;;
Brescia, S. Giulia - Goth occupation;Goth;Lombardia;Northern Italy;EMA;Urban;Plain;0.5000;5;6;1334;5;652;17;1091;2447;368;4;269;377;514;145;1077;856;;1496;;156;105;2;;;;13;;3;;;;;;7;;2;1;;;;1;
Brescia, S. Giulia;Lombard;Lombardia;Northern Italy;EMA;Religious, monastery;Plain;0.5000;6;7;144;1;12;1;95;54;119;2;;74;11;;;36;;4;;9;30;9;3;;;34;;1;;;;;;1;;;1;;;;;
Brescia, Kitchen-Garden (Ortaglia) domus;Lombard;Lombardia;Northern Italy;EMA;Urban;Plain;0.5000;6;7;30;1;6;3;358;166;;1;7;29;1;6;141;12;;;;22;1;;;;;1;;1;;;;;;;;;;;;;;
Boggiovara, necropoli;Byzantine;Emilia-Romagna;Northern Italy;EMA;Necropolis;Plain;0.5000;6;7;;;;;;;;;;1;;;;;;;;;;;;;;5;;;;;;;;;4;;;;;;;
Rocca degli Alberti, Village phase;Lombard;Toscana;Central Italy;EMA;Rural;Hill;0.5000;8;9;4037;206;64;226;943;22;;29;;1475;;1;52;11;;23;;15;;;;;;5;;;;;1;139;;;;;;;;;;
Rocca degli Alberti, Manorial court phase;Frankish;Toscana;Central Italy;EMA;Rural;Hill;0.5000;9;10;2097;;3;15;8;3;;14;;920;;;;;;4;;;;;;;;5;;;;;;7;;;;;;;;;;
Rocchette Pannocchieschi;Frankish;Toscana;Central Italy;EMA;Castle;Hill;0.5000;10;11;208;1;;;3;;;;;;3;4;;4;1;1;;;;;;;;;;;;;;;;;;;;;;;;
Modena, viale Amendola, woodland - alluvial deposit;Early Medieval;Emilia-Romagna;Northern Italy;EMA;Rural;Plain;0.3333;4;6;;;;;;;;;;;;;;;;;;;;;;;1;10;;;;;;;;;;;;9;;79;;
Nago-Torbole;Late Roman;Trentino-Alto Adige/Südtirol;Northern Italy;EMA;Rural site, villa;Mountain;0.2500;3;6;10;1;5;4;3;31;75;4;;15;99;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Calcinate, loc. Campo Musna (US 168);Roman;Lombardia;Northern Italy;EMA;Rural site, villa;Plain;0.1250;-1;6;1;;2;;;;;;;15;;;;;;;;;108;;;;;10;;;;;;;;;;;;;;;;
Bazzano, Pozzo Casini;Late Roman;Emilia-Romagna;Northern Italy;EMA;Urban;Plain;0.5000;5;6;;;;;;;;;;;;;;;;;;;11;9;;;;;;10;;;;;;;;;;;;;;
Montegrotto Terme, via Neroniana, elongated ditch (US 4174);Medieval;Veneto;Northern Italy;EMA;Rural;Plain;0.1667;9;14;13;;;;6;;;57;1;11;;;1;;;;;;;;;;;961;3;;;;;228;;;23;;1;;;;;
Volterra, podere San Mario, 5th-6th c.;Early Medieval;Toscana;Central Italy;EMA;Rural;Hill;0.5000;5;6;4;1;2;;8;;;;;38;;1;21;;;;;6;23;;;;;410;;;;;1;;;6;;1;;;;;;
Castello di Santa Severa, Casa del Nostromo;Byzantine;Lazio;Central Italy;EMA;Urban;Coast;0.5000;7;8;695;;;;110;;;;;;;;10;;19;10;;;;;;;;3;;;;;;;;;;;;;;;;
Salapia, area botteghe, US 2475;Early Medieval;Puglia;Southern Italy;EMA;Urban;Coast;1.0000;6;6;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;
Salapia, area botteghe, US 2437;Early Medieval;Puglia;Southern Italy;EMA;Urban;Coast;1.0000;7;7;1;;;1;;;;;;22;;;;;;;;1;;;;;;;;;;;4;;;;;;;;;;;
Salapia, area conceria, US 2054;Early Medieval;Puglia;Southern Italy;EMA;Urban;Coast;0.5000;5;6;;1;;;;;;;;2;;;;;;;;;;;;;;3;;;;;1;;;;;;;;;;;
Salapia, area conceria, US 2211-2217;Early Medieval;Puglia;Southern Italy;EMA;Urban;Coast;1.0000;7;7;;;;;8;;;;;16;2;;;;;;;;;;;;;1;4;;;;13;;;;;;;;;;;
Salapia, area conceria, 8th-9th c.;Early Medieval;Puglia;Southern Italy;EMA;Urban;Coast;0.5000;8;9;2;6;3;;;;;;;56;1;;;;2;;;7;;;;;;20;;;;;28;;;;;;;;;;;
Faragola, wastepit 61;Lombard;Puglia;Southern Italy;EMA;Rural site, villa;Plain;1.0000;7;7;;5;;;1;;;;;9;;;;;1;;;;;;;;;8;;;;;9;;;;;;;;;;;
Faragola, wastepit 66;Lombard;Puglia;Southern Italy;EMA;Rural site, villa;Plain;1.0000;7;7;34;6;;4;18;;;;;20;12;32;;;19;8;;6;;;;;;10;;;;;18;;;;;;;;;;;
Cognento;Early Medieval;Emilia-Romagna;Northern Italy;EMA;Rural;Plain;0.5000;6;7;11;;;1;1;2;20;;;;3;;;;1;;;;25;1;;6;11;130;;;9;1;;2;;;3;;;694;6;219;;
Miranduolo, village phase;Lombard;Toscana;Central Italy;EMA;Rural;Hill;0.5000;8;9;200;12;115;47;12;2;28;;;60;;;7;;1;1;;2;;;;;;;;;;;;;;;;;;;;;;
