Site;Culture;Region;name_macroreg;Chronology;Type;Geo;weight;From Century;To Century;x;y;Common Wheat;Emmer;Einkorn;Oats;Barley;Rye;Proso millet;Foxtail millet;Sorghum;Unsp. cereals;Lentil;Pea;Faba bean;Vetch;Unsp. Vicia;Blue/Red Pea;Chickpea;Unsp. Pulses;Walnut;Hazelnut;Chestnut;Apple;Fig;Grape;Melon;Peach;Pear;Plum;Olive;Flax;Sour Cherry;Corn. Cherry;Sorbus sp.;Wild Cherry;Unsp. Prunus;Elderberry;Blackthorn;Blackberry;Strawberry;Date
Desenzano, loc. Faustinella;Late Roman;Lombardia;Northern Italy;LR;Rural;Plain;0.5000;5;6;10.538694;45.4694851;1;2;7;8;1;1;6;11;;103;1;;;;;;;;60;;;;;263;;;;;;;;2;;;;;;;;
Desenzano, loc. Faustinella;Late Roman;Lombardia;Northern Italy;EMA;Rural;Plain;0.5000;5;6;10.538694;45.4694851;1;2;7;8;1;1;6;11;;103;1;;;;;;;;60;;;;;263;;;;;;;;2;;;;;;;;
Trezzo sull'Adda, Cascina S. Martino, 3rd-6th c.;Late Roman;Lombardia;Northern Italy;LR;Urban;Plain;0.2500;3;6;9.508719072826871;45.43117278804427;1;;;1;2;2;2;2;;1;;;1;2;;2;;;22;1;;;499;3583;;;;;;;576;1;;;297;2;;37;1;
Trezzo sull'Adda, Cascina S. Martino, 3rd-6th c.;Late Roman;Lombardia;Northern Italy;EMA;Urban;Plain;0.2500;3;6;9.508719072826871;45.43117278804427;1;;;1;2;2;2;2;;1;;;1;2;;2;;;22;1;;;499;3583;;;;;;;576;1;;;297;2;;37;1;
Monte Barro;Goth;Lombardia;Northern Italy;LR;Castrum;Mountain;0.5000;5;6;9.369320317683991;45.83092616011957;2017;;1;6;90;76;;5;;;3;;2;32;148;;;;73;18;510;;;16;;11;;;;10000;1;;;;;;;;;
Monte Barro;Goth;Lombardia;Northern Italy;EMA;Castrum;Mountain;0.5000;5;6;9.369320317683991;45.83092616011957;2017;;1;6;90;76;;5;;;3;;2;32;148;;;;73;18;510;;;16;;11;;;;10000;1;;;;;;;;;
Loppio, Isola S. Andrea;Lombard;Trentino-Alto Adige/Südtirol;Northern Italy;LR;Castrum;Mountain;0.5000;5;6;10.916720914052336;45.866429428008345;1;;2;3;25;5;136;98;1;103;16;4;2;9;1;14;;3;3;;;;;1;;;;;;;;;;;;;;;;
Loppio, Isola S. Andrea;Lombard;Trentino-Alto Adige/Südtirol;Northern Italy;EMA;Castrum;Mountain;0.5000;5;6;10.916720914052336;45.866429428008345;1;;2;3;25;5;136;98;1;103;16;4;2;9;1;14;;3;3;;;;;1;;;;;;;;;;;;;;;;
Lomello, villa Maria;Early Medieval;Lombardia;Northern Italy;LR;Rural;Plain;0.5000;5;6;8.797278548240513;45.1221589340304;9;;1;1;18;64;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lomello, villa Maria;Early Medieval;Lombardia;Northern Italy;EMA;Rural;Plain;0.5000;5;6;8.797278548240513;45.1221589340304;9;;1;1;18;64;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Domagnano;Goth;San Marino;Northern Italy;LR;Rural;Mountain;0.5000;5;6;12.468926451003016;43.947901691490465;1;;;;3;;;;;2;;;;;;;;;2;;;2;206;1595;;;1;1;250;;;;;;;;;;3;
Domagnano;Goth;San Marino;Northern Italy;EMA;Rural;Mountain;0.5000;5;6;12.468926451003016;43.947901691490465;1;;;;3;;;;;2;;;;;;;;;2;;;2;206;1595;;;1;1;250;;;;;;;;;;3;
Parma, Piazza Garibaldi/via Cavestro;Medieval;Emilia-Romagna;Northern Italy;EMA;Urban;Plain;0.5000;10;11;10.326509377765523;44.80082986532667;218;40;115;;39;54;37;;;9;;3;20;;;;;;13;5;;236;8978;26495;87;136;12;210;;;114;9;338;1107;;4;201;724;519;
Parma, Piazza Garibaldi/via Cavestro;Medieval;Emilia-Romagna;Northern Italy;Ma;Urban;Plain;0.5000;10;11;10.326509377765523;44.80082986532667;218;40;115;;39;54;37;;;9;;3;20;;;;;;13;5;;236;8978;26495;87;136;12;210;;;114;9;338;1107;;4;201;724;519;
Ventimiglia, battistero della Cattedrale;Early Medieval;Liguria;Northern Italy;EMA;Urban;Coast;0.5000;6;7;7.6025654227118995;43.791320932545275;879;102;3;;30;;1;103;;242;15;;;11;3;5;;;;;;;;9;;;;;;;;;;;;;;;;
S. Antonino di Perti;Byzantine;Liguria;Northern Italy;EMA;Castrum;Mountain;0.5000;6;7;8.32153258912255;44.19479733303203;;;;;2;;1;;;;;;;;;;;;;1;;;;2;;2;;1;;;;3;;;;;;;;
Luni, 8th c.;Early Medieval;Liguria;Northern Italy;EMA;Urban;Coast;1.0000;8;8;10.016095356375178;44.06450201566349;66;;1;;1;;1;;;;;;2;;1;;;;1;;;;;7;;;;;1;;;;;;1;;;;;
Classe, 8th c.;Early Medieval;Emilia-Romagna;Northern Italy;EMA;Rural;Coast;1.0000;8;8;12.21703592761964;44.39775375736627;15;13;;1;932;;;;;11;500;;1;;3;14;80;;;;;;1;1;;;;;;;;;;;;;;;;
Classe, 8th-10th c.;Early Medieval;Emilia-Romagna;Northern Italy;EMA;Rural;Coast;0.3333;8;10;12.21703592761964;44.39775375736627;39;6;;;91;;104;;;9;43;;3;;1;3;3;;;;;;;;;;;;;;;;;;;;;;;
Nogara, Mulino di Sotto;Medieval;Veneto;Northern Italy;EMA;Rural;Plain;0.3333;9;11;11.057640162306127;45.17845974019079;69;8;28;;12;34;21;7;24;107;9;1;9;9;;4;;;21;11;1;7;;1453;;16;;6;;;;1;1;;17;3;11;19;;
Nogara, Mulino di Sotto;Medieval;Veneto;Northern Italy;Ma;Rural;Plain;0.3333;9;11;11.057640162306127;45.17845974019079;69;8;28;;12;34;21;7;24;107;9;1;9;9;;4;;;21;11;1;7;;1453;;16;;6;;;;1;1;;17;3;11;19;;
Finalborgo;Medieval;Liguria;Northern Italy;EMA;Urban;Coast;0.5000;10;11;8.329968465525209;44.175902068140466;1;;;1;;;;;;;;;;;;;;;1;1;;;170;19;;;;2;;;;;;;;23;;1;;
Finalborgo;Medieval;Liguria;Northern Italy;Ma;Urban;Coast;0.5000;10;11;8.329968465525209;44.175902068140466;1;;;1;;;;;;;;;;;;;;;1;1;;;170;19;;;;2;;;;;;;;23;;1;;
Sarzana, Pieve di S. Andrea;Medieval;Liguria;Northern Italy;Ma;Religious;Plain;1.0000;11;11;9.960947973721732;44.1132811531059;;;;;5;;;;3;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;
Teglio, municipio;Late Roman;Lombardia;Northern Italy;LR;Urban;Mountain;0.5000;3;4;10.066866872153222;46.17240998456696;37;8;;;2;;;;;43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Teglio, via Roma;Early Medieval;Lombardia;Northern Italy;LR;Urban;Mountain;0.5000;5;6;10.070032275277624;46.17100687400183;;22;;;3;;;6;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Teglio, via Roma;Early Medieval;Lombardia;Northern Italy;EMA;Urban;Mountain;0.5000;5;6;10.070032275277624;46.17100687400183;;22;;;3;;;6;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cislago;Late Roman;Lombardia;Northern Italy;LR;Rural site, villa;Plain;0.5000;4;5;8.974157624911557;45.660400959244946;8612;;;;;2556;;51;;16;14;13;177;2;;;;;;;16;;;2;;;;;;;;;;;;;;;;
Aquileia, insule quartieri nord;Early Medieval;Friuli-Venezia Giulia;Northern Italy;LR;Urban;Coast;0.5000;5;6;13.3632280102961;45.76843522391114;1;;;;;;;1;;5;;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aquileia, insule quartieri nord;Early Medieval;Friuli-Venezia Giulia;Northern Italy;EMA;Urban;Coast;0.5000;5;6;13.3632280102961;45.76843522391114;1;;;;;;;1;;5;;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campi di Riva del Garda, Monte S. Martino;Early Medieval;Trentino-Alto Adige/Südtirol;Northern Italy;LR;Urban;Mountain;0.3333;4;6;10.821289190934788;45.917374128067024;2;3;;1;3;;;;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campi di Riva del Garda, Monte S. Martino;Early Medieval;Trentino-Alto Adige/Südtirol;Northern Italy;EMA;Urban;Mountain;0.3333;4;6;10.821289190934788;45.917374128067024;2;3;;1;3;;;;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sirmione, via Antiche Mura;Early Medieval;Lombardia;Northern Italy;LR;Rural site, villa;Plain;0.5000;5;6;10.607602299147022;45.49350727456822;13;;;;;;90000;255600;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sirmione, via Antiche Mura;Early Medieval;Lombardia;Northern Italy;EMA;Rural site, villa;Plain;0.5000;5;6;10.607602299147022;45.49350727456822;13;;;;;;90000;255600;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Modena, via Nonantolana;Early Medieval;Emilia-Romagna;Northern Italy;LR;Rural;Plain;0.5000;5;6;10.960618877376247;44.65912805035021;8;;;82;;;50;;;18;;;;3;;13;;;;;;;;;;;;;;;;;;;;;;;;
Modena, via Nonantolana;Early Medieval;Emilia-Romagna;Northern Italy;EMA;Rural;Plain;0.5000;5;6;10.960618877376247;44.65912805035021;8;;;82;;;50;;;18;;;;3;;13;;;;;;;;;;;;;;;;;;;;;;;;
Vada Sabatia, layer V;Roman;Liguria;Northern Italy;R;Rural site, villa;Coast;0.5000;1;2;8.433361957253506;44.264927584208856;;;;1;;;;;;;;;;;;;;;8;1;2;2;107;9;;1;;1;5;6;;;;;2;;;;;
Vada Sabatia, layers III-IV;Roman;Liguria;Northern Italy;R;Rural site, villa;Coast;0.5000;2;3;8.433361957253506;44.264927584208856;;;;;2;1;1;;;;1;;;;1;;;;3;2;2;;99;7;;2;;;3;3;1;;;;3;4;;;;
Vada Sabatia, layer II;Late Roman;Liguria;Northern Italy;LR;Rural site, villa;Coast;1.0000;3;3;8.433361957253506;44.264927584208856;1;1;;;1;1;;;;;;;1;;6;;;;12;1;8;1;748;3;;1;;2;2;20;1;;;1;5;188;;;;
Vada Sabatia, layer I;Late Roman;Liguria;Northern Italy;LR;Rural site, villa;Coast;0.5000;3;4;8.433361957253506;44.264927584208856;3;5;;;;;;;;;;;;;;;;;22;1;90;;460;37;;4;5;;4;8;16;;;;20;85;;;3;
Finale ligure, Pieve del Finale;Roman;Liguria;Northern Italy;R;Rural;Coast;1.0000;1;1;8.330560129332445;44.17330298343464;;1;;;;;;;;;;;513;;;;;;12;1;;;;;;;;;;;;;;;;;;;;
Augusta Bagiennorum, 1st c.;Roman;Piemonte;Northern Italy;R;Urban;Plain;1.0000;1;1;7.854607320406077;44.55936193040618;;1;;;;;;;;8;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;
Augusta Bagiennorum, 2nd-3rd c.;Roman;Piemonte;Northern Italy;R;Urban;Plain;0.5000;2;3;7.854607320406077;44.55936193040618;;;1;;;;;;;8;;;;;1;;;;;3;;;;;;;;;;;;;;;;;;;;
Augusta Bagiennorum, 2nd-3rd c.;Roman;Piemonte;Northern Italy;LR;Urban;Plain;0.5000;2;3;7.854607320406077;44.55936193040618;;;1;;;;;;;8;;;;;1;;;;;3;;;;;;;;;;;;;;;;;;;;
Mezzocorona, loc. Drei Canè;Roman;Trentino-Alto Adige/Südtirol;Northern Italy;R;Rural;Mountain;0.1429;-1;5;11.120527702600489;46.203081828249424;61;22;4;;53;;27;3;;62;8;;3;8;11;1;;;10;2;;;;144;;3;;;;;;;;;;1;;1;;
Mezzocorona, loc. Drei Canè;Roman;Trentino-Alto Adige/Südtirol;Northern Italy;LR;Rural;Mountain;0.1429;-1;5;11.120527702600489;46.203081828249424;61;22;4;;53;;27;3;;62;8;;3;8;11;1;;;10;2;;;;144;;3;;;;;;;;;;1;;1;;
Bergamo, Palazzo del Podestà;Roman;Lombardia;Northern Italy;R;Urban;Hilltop;0.3333;-1;1;9.662534463874083;45.704116703419245;61;;5;4;15;6;;2086;;26;;;49;;173;;;;58;;1;;;;;;;;;;;;;;;;;;;
Ventimiglia, sito di Albintimilium;Roman;Liguria;Northern Italy;R;Urban;Coast;0.5000;2;3;7.625077832623806;43.78922984798364;;;;;;;;;;;;;1;;;;;;;;;;;12;;;;;;;;;;;;;;;;
Ventimiglia, sito di Albintimilium;Roman;Liguria;Northern Italy;LR;Urban;Coast;0.5000;2;3;7.625077832623806;43.78922984798364;;;;;;;;;;;;;1;;;;;;;;;;;12;;;;;;;;;;;;;;;;
Aquileia, ex essiccatoio nord, 1st c. BCE - 1st c. CE;Roman;Friuli-Venezia Giulia;Northern Italy;R;Urban;Coast;0.3333;-1;1;13.364957834639437;45.77542746143208;7;103;94;1;1;;5;;;289;;;;;1;;;22;28;20;;;383;14;;;;;2;1;;;;;8;;;8;4;
Padova, Borgomagno;Roman;Veneto;Northern Italy;R;Necropolis;Plain;0.2000;-1;3;11.877752898477562;45.41816769710538;;;;;;;;49;;;;;10;;;;;22;1;;;;60;19;;;;;;;;;;;;;;;;
Padova, Borgomagno;Roman;Veneto;Northern Italy;LR;Necropolis;Plain;0.2000;-1;3;11.877752898477562;45.41816769710538;;;;;;;;49;;;;;10;;;;;22;1;;;;60;19;;;;;;;;;;;;;;;;
Padova, Banca Etica;Roman;Veneto;Northern Italy;R;Necropolis;Plain;0.2000;-1;3;11.879478683413282;45.41677742958558;;;;;;;;1;;;;;;;;;;;;;;;21;1;;2;;12;15;;;;;;;;;;;
Padova, Banca Etica;Roman;Veneto;Northern Italy;LR;Necropolis;Plain;0.2000;-1;3;11.879478683413282;45.41677742958558;;;;;;;;1;;;;;;;;;;;;;;;21;1;;2;;12;15;;;;;;;;;;;
Verona, Porta Palio e Spianà;Roman;Veneto;Northern Italy;R;Necropolis;Plain;0.2000;-1;3;10.979868712960371;45.43571710297538;16;;;;;;1;4;;50;;;;2;;;;39;;;;;7;9;;;;;;;;;;;1;;;;;
Verona, Porta Palio e Spianà;Roman;Veneto;Northern Italy;LR;Necropolis;Plain;0.2000;-1;3;10.979868712960371;45.43571710297538;16;;;;;;1;4;;50;;;;2;;;;39;;;;;7;9;;;;;;;;;;;1;;;;;
Nave;Roman;Lombardia;Northern Italy;R;Necropolis;Mountain;0.2000;-1;3;10.286680846651896;45.585002902041424;22;;;;15;;;;;42;5;;36;;1;;;39;1;19;;1;3;5;;;1;1;12;;;;;;;;;;;
Nave;Roman;Lombardia;Northern Italy;LR;Necropolis;Mountain;0.2000;-1;3;10.286680846651896;45.585002902041424;22;;;;15;;;;;42;5;;36;;1;;;39;1;19;;1;3;5;;;1;1;12;;;;;;;;;;;
Manerbio, Cascina Trebeschi;Roman;Lombardia;Northern Italy;R;Necropolis;Plain;0.2000;-1;3;10.127552867925699;45.3455980250891;;;;;1;;;5;;46;;2;;;;;;2;56;9;;;;10;;2;;1;;;;;;;1;;;;1;
Manerbio, Cascina Trebeschi;Roman;Lombardia;Northern Italy;LR;Necropolis;Plain;0.2000;-1;3;10.127552867925699;45.3455980250891;;;;;1;;;5;;46;;2;;;;;;2;56;9;;;;10;;2;;1;;;;;;;1;;;;1;
Bergamo, via degli Orti;Roman;Lombardia;Northern Italy;R;Necropolis;Hill;0.2000;-1;3;9.654994889936845;45.70648740560144;;;;;;;;;;;;;;;;;;1;2;5;;;;2;;;;;1;;;;;;1;;;;;
Bergamo, via degli Orti;Roman;Lombardia;Northern Italy;LR;Necropolis;Hill;0.2000;-1;3;9.654994889936845;45.70648740560144;;;;;;;;;;;;;;;;;;1;2;5;;;;2;;;;;1;;;;;;1;;;;;
Mariano Comense, via T. Grossi;Roman;Lombardia;Northern Italy;R;Necropolis;Plain;0.2000;-1;3;9.172840892472001;45.70331870545088;;;1;;;;;1;;1;;;;;;;;;4;1;10;;;;;2;;;;;;;;;;;;;;
Mariano Comense, via T. Grossi;Roman;Lombardia;Northern Italy;LR;Necropolis;Plain;0.2000;-1;3;9.172840892472001;45.70331870545088;;;1;;;;;1;;1;;;;;;;;;4;1;10;;;;;2;;;;;;;;;;;;;;
Como, via Benzi;Roman;Lombardia;Northern Italy;R;Necropolis;Plain;0.2000;-1;3;9.079774205511432;45.80672803586052;;;;;1;;;;;;;;2;;;;;;8;1;;;9;15;;1;;;1;;;;;;;;;;;
Cerrione;Roman;Lombardia;Northern Italy;LR;Necropolis;Plain;0.2000;-1;3;8.045738104842322;45.578320899715465;2;;1;;;1;4;2;;8;5;;58;1;;;;117;113;579;140;6;76;279;1;3;12;3;;;;4;;;;;;;;
Albenga, via Pontelungo;Roman;Liguria;Northern Italy;R;Necropolis;Coast;0.2000;-1;3;8.21321587814639;44.053293753072694;1;6;;;1;;;;;12;;;;;;;;1;1;653;;;225;21;;;;;;;;;;;;;;;;
Albenga, via Pontelungo;Roman;Liguria;Northern Italy;LR;Necropolis;Coast;0.2000;-1;3;8.21321587814639;44.053293753072694;1;6;;;1;;;;;12;;;;;;;;1;1;653;;;225;21;;;;;;;;;;;;;;;;
Brescia, Capitolium, Flavian age;Roman;Lombardia;Northern Italy;R;Religious;Plain;1.0000;1;1;10.226541412798476;45.54030058057592;;;;;;4;;;;14;1;;;;;;;3;2;;;;;;;;;;;;;;;;;;;;;
Brescia, Capitolium, deterioration phase;Lombard;Lombardia;Northern Italy;EMA;Urban;Plain;1.0000;7;7;10.226541412798476;45.54030058057592;146;;;;8;4;;15;;218;2;;;;;;;8;10;;;;;1;;;;;;;;;;;;;;;;
Brescia, via Alberto Mario;Goth;Lombardia;Northern Italy;LR;Urban;Plain;0.5000;5;6;10.230896521429843;45.53750757759999;3;2;750;7;;62;21000;3;;;9;;16;;;;;;;;5;;;1;;;;;;;;;;;;;;;;
Brescia, via Alberto Mario;Goth;Lombardia;Northern Italy;EMA;Urban;Plain;0.5000;5;6;10.230896521429843;45.53750757759999;3;2;750;7;;62;21000;3;;;9;;16;;;;;;;;5;;;1;;;;;;;;;;;;;;;;
Brescia, S. Giulia - Roman domus;Roman;Lombardia;Northern Italy;R;Urban;Plain;0.2000;1;5;10.228382817765326;45.54056461482653;3;;;;2;;;;;3;1;;;;;;;4;24;;;;;1;;;;;1;;;;;;;;;;;
Brescia, S. Giulia - Roman domus;Roman;Lombardia;Northern Italy;LR;Urban;Plain;0.2000;1;5;10.228382817765326;45.54056461482653;3;;;;2;;;;;3;1;;;;;;;4;24;;;;;1;;;;;1;;;;;;;;;;;
Brescia, S. Giulia - Goth occupation;Goth;Lombardia;Northern Italy;LR;Urban;Plain;0.5000;5;6;10.228382817765326;45.54056461482653;1334;5;652;17;1091;2447;368;4;269;377;514;145;1077;856;;1496;;156;105;2;;;;13;;3;;;;;;7;;2;1;;;;1;
Brescia, S. Giulia - Goth occupation;Goth;Lombardia;Northern Italy;EMA;Urban;Plain;0.5000;5;6;10.228382817765326;45.54056461482653;1334;5;652;17;1091;2447;368;4;269;377;514;145;1077;856;;1496;;156;105;2;;;;13;;3;;;;;;7;;2;1;;;;1;
Brescia, S. Giulia;Lombard;Lombardia;Northern Italy;EMA;Religious, monastery;Plain;0.5000;6;7;10.228581058805755;45.539848090918376;144;1;12;1;95;54;119;2;;74;11;;;36;;4;;9;30;9;3;;;34;;1;;;;;;1;;;1;;;;;
Brescia, Kitchen-Garden (Ortaglia) domus;Lombard;Lombardia;Northern Italy;EMA;Urban;Plain;0.5000;6;7;10.229688034111009;45.54040837440285;30;1;6;3;358;166;;1;7;29;1;6;141;12;;;;22;1;;;;;1;;1;;;;;;;;;;;;;;
Boggiovara, pozzo romano;Roman;Emilia-Romagna;Northern Italy;R;Rural;Plain;0.2500;-2;1;10.87307229891729;44.60800742093317;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;
Boggiovara, necropoli;Byzantine;Emilia-Romagna;Northern Italy;EMA;Necropolis;Plain;0.5000;6;7;10.87307229891729;44.60800742093317;;;;;;;;;;1;;;;;;;;;;;;;;5;;;;;;;;;4;;;;;;;
Modena, ex Cinema Capitol, Imperial domus phase;Roman;Emilia-Romagna;Northern Italy;R;Urban;Plain;0.5000;1;2;10.928232455077998;44.64481839890194;1;1;;;2;;;;;2;;;;;;;;;1;;;;44;2;;;;;1;;;;;;;13;;;;
Modena, ex Cinema Capitol, post-domus phase;Roman;Emilia-Romagna;Northern Italy;R;Urban;Plain;0.5000;2;3;10.928232455077998;44.64481839890194;;1;1;;;;;;;;;;;;;;;;;;;;51;2;;;;;;;;;;;;1;;;;
Modena, ex Cinema Capitol, post-domus phase;Roman;Emilia-Romagna;Northern Italy;LR;Urban;Plain;0.5000;2;3;10.928232455077998;44.64481839890194;;1;1;;;;;;;;;;;;;;;;;;;;51;2;;;;;;;;;;;;1;;;;
Modena, viale Amendola, settling tank;Roman;Emilia-Romagna;Northern Italy;R;Urban;Plain;0.5000;1;2;10.907213064923846;44.63365857670945;;;;;;;;;;;;;;;;;;;2;1;;;7;30;;;1;;;;;;;1;;15;;17;;
Modena, viale Amendola, channel acqueduct fill;Roman;Emilia-Romagna;Northern Italy;R;Urban;Plain;0.5000;1;2;10.907213064923846;44.63365857670945;;;;;;;;;;;;;;;;;;;3;;;;2;11;;;;;;;;;1;;;;;1;2;
Modena, viale Amendola, woodland - alluvial deposit;Early Medieval;Emilia-Romagna;Northern Italy;LR;Rural;Plain;0.3333;4;6;10.907213064923846;44.63365857670945;;;;;;;;;;;;;;;;;;;;;;;1;10;;;;;;;;;;;;9;;79;;
Modena, viale Amendola, woodland - alluvial deposit;Early Medieval;Emilia-Romagna;Northern Italy;EMA;Rural;Plain;0.3333;4;6;10.907213064923846;44.63365857670945;;;;;;;;;;;;;;;;;;;;;;;1;10;;;;;;;;;;;;9;;79;;
Modena, ex Manifattura Tabacchi, paleosol;Roman;Emilia-Romagna;Northern Italy;R;Urban;Plain;0.5000;1;2;10.929212410981;44.652549727570914;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;32;;33;;
Modena, Palazzo Vaccari;Late Roman;Emilia-Romagna;Northern Italy;LR;Urban;Plain;1.0000;4;4;10.93169927893164;44.6437005360248;2;3;3;1;16;;;;;16;1;1;;1;;;;3;3;;;;;3;;;;;;;;1;;;;11;;;;
Nago-Torbole;Late Roman;Trentino-Alto Adige/Südtirol;Northern Italy;LR;Rural site, villa;Mountain;0.2500;3;6;10.886544590892989;45.874108029732234;10;1;5;4;3;31;75;4;;15;99;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Nago-Torbole;Late Roman;Trentino-Alto Adige/Südtirol;Northern Italy;EMA;Rural site, villa;Mountain;0.2500;3;6;10.886544590892989;45.874108029732234;10;1;5;4;3;31;75;4;;15;99;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Calcinate, loc. Villa Passa, Tomb 1;Roman;Lombardia;Northern Italy;R;Necropolis;Plain;1.0000;1;1;9.79826672673438;45.62031310824095;1;4;;;6;;;;;6;1;;1;;;;;2;;;;;1;;;;;;;;;;;;;;;;;
Calcinate, loc. Villa Passa, Tombs 3-4;Roman;Lombardia;Northern Italy;R;Necropolis;Plain;0.5000;1;2;9.79826672673438;45.62031310824095;2;;;1;;;;;;29;2;;32;;;;;4;20;12;;;;;;;;;;;;;;;;;;;;
Calcinate, loc. Villa Passa, pit (US 122);Late Roman;Lombardia;Northern Italy;LR;Rural site, villa;Plain;0.5000;3;4;9.79826672673438;45.62031310824095;;1;;1;;;;;;2;;;;;;;;1;6;;;;;;;;;;;;;;;;;;;;;
Calcinate, loc. Campo Musna (US 168);Roman;Lombardia;Northern Italy;R;Rural site, villa;Plain;0.1250;-1;6;9.803402572092853;45.61031712464418;1;;2;;;;;;;15;;;;;;;;;108;;;;;10;;;;;;;;;;;;;;;;
Calcinate, loc. Campo Musna (US 168);Roman;Lombardia;Northern Italy;LR;Rural site, villa;Plain;0.1250;-1;6;9.803402572092853;45.61031712464418;1;;2;;;;;;;15;;;;;;;;;108;;;;;10;;;;;;;;;;;;;;;;
Calcinate, loc. Campo Musna (US 168);Roman;Lombardia;Northern Italy;EMA;Rural site, villa;Plain;0.1250;-1;6;9.803402572092853;45.61031712464418;1;;2;;;;;;;15;;;;;;;;;108;;;;;10;;;;;;;;;;;;;;;;
Bazzano, Pozzo Casini;Late Roman;Emilia-Romagna;Northern Italy;LR;Urban;Plain;0.5000;5;6;11.082577574770152;44.50819047836196;;;;;;;;;;;;;;;;;;;11;9;;;;;;10;;;;;;;;;;;;;;
Bazzano, Pozzo Casini;Late Roman;Emilia-Romagna;Northern Italy;EMA;Urban;Plain;0.5000;5;6;11.082577574770152;44.50819047836196;;;;;;;;;;;;;;;;;;;11;9;;;;;;10;;;;;;;;;;;;;;
Montegrotto Terme, via Neroniana, Silos (US 4131);Medieval;Veneto;Northern Italy;Ma;Rural;Plain;1.0000;11;11;11.793363508103882;45.3231475589978;;;;;2;;2;2;15;2;;;1;;;;;;;;;;;4;;;;;;3;;;1;;;;;;;
Montegrotto Terme, via Neroniana, hut (US 2004-2019);Medieval;Veneto;Northern Italy;Ma;Rural;Plain;0.5000;11;12;11.793363508103882;45.3231475589978;7;;1;;8;;3;;;25;3;;;;;;;;;2;;;;59;;1;;;;6;;;;;;2;1;;;
Montegrotto Terme, via Neroniana, elongated ditch (US 4174);Medieval;Veneto;Northern Italy;EMA;Rural;Plain;0.1667;9;14;11.793363508103882;45.3231475589978;13;;;;6;;;57;1;11;;;1;;;;;;;;;;;961;3;;;;;228;;;23;;1;;;;;
Montegrotto Terme, via Neroniana, elongated ditch (US 4174);Medieval;Veneto;Northern Italy;Ma;Rural;Plain;0.1667;9;14;11.793363508103882;45.3231475589978;13;;;;6;;;57;1;11;;;1;;;;;;;;;;;961;3;;;;;228;;;23;;1;;;;;
San Lorenzo di Sebato, loc. Pichlweise;Roman;Trentino-Alto Adige/Südtirol;Northern Italy;R;Necropolis;Mountain;0.2500;2;5;11.905785018062886;46.78644859007541;;2;1;;4;;1;3;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
San Lorenzo di Sebato, loc. Pichlweise;Roman;Trentino-Alto Adige/Südtirol;Northern Italy;LR;Necropolis;Mountain;0.2500;2;5;11.905785018062886;46.78644859007541;;2;1;;4;;1;3;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Modena, Cassa di Risparmio;Roman;Emilia-Romagna;Northern Italy;R;Urban;Plain;1.0000;1;1;10.927570243724745;44.64497707978179;21;26;14;1;23;2;;;;43;2;;2;;2;1;;;594;142;;5;8692;5065;5;118;11;9;865;5229;8;494;7;264;5;51;218;250;749;
Sondrio, via Quadrio;Medieval;Lombardia;Northern Italy;Ma;Urban;Plain;0.2500;11;14;9.873043999370287;46.17176926743521;;1;;;;;;4;;5;;;;;;;;;1;;;;;3;;;;;;;;;;;;;;;;
Teglio, Combolo, 1st c. BCE- 2nd c. CE;Roman;Lombardia;Northern Italy;R;Urban;Mountain;0.2500;-1;2;10.06732417238592;46.172234453803064;;;;;;;;;;;;;3;;;;;;1;17;;;;;;;;;;;;;;;;;;;;
Nave;Roman;Lombardia;Northern Italy;R;Necropolis;Plain;1.0000;1;1;10.258055905657397;45.585574714128114;;;;;21;;;;;54;5;;36;;;;;39;1;19;;1;2;4;;;;1;10;;;;;;;;;;;8
Cognento;Early Medieval;Emilia-Romagna;Northern Italy;EMA;Rural;Plain;0.5000;6;7;10.871068079319562;44.63471884641742;11;;;1;1;2;20;;;;3;;;;1;;;;25;1;;6;11;130;;;9;1;;2;;;3;;;694;6;219;;
