Site;Culture;Region;name_macroreg;Chronology;Type;Geo;weight;From Century;To Century;x;y;Common Wheat;Emmer;Einkorn;Oats;Barley;Rye;Proso millet;Foxtail millet;Sorghum;Unsp. cereals;Lentil;Pea;Faba bean;Vetch;Unsp. Vicia;Blue/Red Pea;Chickpea;Unsp. Pulses;Walnut;Hazelnut;Chestnut;Apple;Fig;Grape;Melon;Peach;Pear;Plum;Olive;Flax;Sour Cherry;Corn. Cherry;Sorbus sp.;Wild Cherry;Unsp. Prunus;Elderberry;Blackthorn;Blackberry;Strawberry;Date
Marzuolo, Phase 3;Roman;Toscana;Central Italy;LR;Rural;Plain;0.5000;2;3;11.408297998931415;42.95620255964278;2;;;;;;;;;8;;;;;;;;5;1;;;;;14;;1;;;2;;;;;;;;;1;;
Villa Magna, Byzantine phase, 6th-7th c.;Byzantine;Lazio;Central Italy;EMA;Rural site, villa;Hill;0.5000;6;7;13.112407048036301;41.68141381604245;2;;;;9;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;
Villa Magna, monastic village, 10th-13th c.;Medieval;Lazio;Central Italy;Ma;Rural;Hill;0.3333;10;13;13.112407048036301;41.68141381604245;86;;;;8;;;;;;;;;;145;;;1;;1;;;5;1;;;;;;;;;;;;56;;1;;
Settefinestre, Phase 1;Roman;Toscana;Central Italy;R;Rural site, villa;Hill;0.5000;-1;1;11.327089226104398;42.4308642494648;;;;;1;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Settefinestre, Phase 2;Roman;Toscana;Central Italy;R;Rural site, villa;Hill;0.5000;2;3;11.327089226104398;42.4308642494648;;1;;1;;;;;;;1;;;;1;;;;;1;;;;1;;;;;;;;;;;;;;;;
Settefinestre, Phase 2;Roman;Toscana;Central Italy;LR;Rural site, villa;Hill;0.5000;2;3;11.327089226104398;42.4308642494648;;1;;1;;;;;;;1;;;;1;;;;;1;;;;1;;;;;;;;;;;;;;;;
Pompei, IX 8;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;1;1;14.48778106818106;40.752375998948736;;1;;;;;;;;;;;6;;;;;;;1;;;1;4;;;;;389;;;;;;;;;;;
S. Maria in Cività, D85;Early Medieval;Molise;Southern Italy;EMA;Urban;Hilltop;0.2500;6;9;14.81559846145632;41.80352728910525;2345;3;;90;1193;;336;;;4067;;;10;;;37;;126;;;;;307;14;;;;;;215;;;;;;3;;;;
S. Giovanni di Ruoti, Phase 1;Roman;Basilicata;Southern Italy;R;Rural site, villa;Mountain;0.3333;1;3;15.669902140170347;40.73911711017891;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S. Giovanni di Ruoti, Phase 1;Roman;Basilicata;Southern Italy;LR;Rural site, villa;Mountain;0.3333;1;3;15.669902140170347;40.73911711017891;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S. Giovanni di Ruoti, Phase 2;Late Roman;Basilicata;Southern Italy;LR;Rural site, villa;Mountain;1.0000;4;4;15.669902140170347;40.73911711017891;;;;;;;;;;7;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;
S. Giovanni di Ruoti, Phase 3A;Late Roman;Basilicata;Southern Italy;EMA;Rural site, villa;Mountain;1.0000;5;5;15.669902140170347;40.73911711017891;4;;;;;;1;;;8;1;1;;;;;;;;;;;2;10;;;;;28;;;;;;;;;3;;
S. Giovanni di Ruoti, Phase 3B;Late Roman;Basilicata;Southern Italy;LR;Rural site, villa;Mountain;0.5000;5;6;15.669902140170347;40.73911711017891;2;;;;13;;;;;4;;1;;;;;;;;;;1;1;;;;;;;;;;;6;;1;;;;
S. Giovanni di Ruoti, Phase 3B;Late Roman;Basilicata;Southern Italy;EMA;Rural site, villa;Mountain;0.5000;5;6;15.669902140170347;40.73911711017891;2;;;;13;;;;;4;;1;;;;;;;;;;1;1;;;;;;;;;;;6;;1;;;;
Pompei, VI, 1, Vicolo di Narciso, 1st c. BCE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;-1;-1;14.482150280709833;40.751569690620215;;1;;;1;;;;;1;1;;0;;;;;;;;;;22;4;;;;;3;;;;;;;;;;;
Pompei, VI, 1, Vicolo di Narciso, 1st c. CE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;1;1;14.482150280709833;40.751569690620215;1;;;;2;;1;;;2;2;;;1;2;;;;5;2;;1;48;141;1;2;;;6;;;;;;;;;;;
Pompei, VI, 1, via Consolare, 1st c. BCE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;-1;-1;14.481919726317486;40.75143380748344;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;
Pompei, VI, 1, via Consolare, 1st c. CE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;1;1;14.481919726317486;40.75143380748344;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;;;;;;;;;;;
Pompei, VI, 1, 1, Domus of Triclinium;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;-1;-1;14.48146610340285;40.75196455878867;;;;;1;;3;2;;5;;;;;5;;;;3;;;13;15101;95;5;;;;4;;;;;;3;;;;;
Pompei, VI, 1, 19, well, 1st c. BCE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;-1;-1;14.482247528149088;40.75128122091914;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;1;;;;;;;;;;;
Pompei, VI, 1, 19, well, 1st c. CE;Roman;Campania;Southern Italy;R;Urban;Coast;1.0000;1;1;14.482247528149088;40.75128122091914;;;;;1;;;;;1;;;;;;;;;;;;;76;;;;;;5;;;;;;;;;;;
